fiscal_year,agency,total_revenue,federal_revenue,federal_dependency_pct
2018,ATTORNEY GENERAL (DEPT OF LAW),128068640.3200,4583299.9000,3.578783915053593
2018,DEPT OF EDUCATION,2128819993.5800,1118964765.1100,52.56267643504495
2018,BOARD OF OPTOMETRY,288905.3000,,
2018,DEPT OF HOMELAND SECURITY,19363495.1300,19363495.1300,100.0
2018,BOARD OF DISPENSING OPTICIANS,187320.0000,,
2018,MINE INSPECTOR,427647.4300,337436.9800,78.90541514536869
2018,BOARD OF OCCUPATIONAL EXAMINERS,286103.0000,,
2018,EXPOSITION AND STATE FAIR BOARD,13684198.2200,,
2018,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,135549705.3600,,
2018,PERSONNEL BOARD,493574.3100,,
2019,STATE TREASURER,467325832.5800,0.0000,0.0
2019,UNIVERSITY OF ARIZONA,13286637.4300,,
2020,BOARD OF FUNERAL DIRECTORS AND EMBALMERS,404295.4000,,
2020,GOVERNOR'S OFFICE,1949845187.6800,1868234356.1500,95.81449686130703
2020,COURT OF APPEALS,187602.4500,,
2020,REAL ESTATE DEPARTMENT,3952282.8700,,
2021,DEPT OF ECONOMIC SECURITY,3848681293.2500,3534209849.0400,91.82911183730555
2021,DEPT OF EMERGENCY AND MILITARY AFFAIRS,131752025.0500,59925407.7200,45.48348133340513
2021,DEPT OF PUBLIC SAFETY,652120058.8800,57338945.1600,8.7926976603784
2021,SUPREME COURT,101228232.8200,747495.0100,0.738425426559768
2021,DEPT OF HOUSING,140901852.1800,110752440.7100,78.60254425081327
2021,DEPT OF LIQUOR LICENSES AND CONTROL,10268288.7000,,
2021,REGISTRAR OF CONTRACTORS,15912100.8000,,
2021,BOARD OF BEHAVIORAL HEALTH EXAMINERS,2463514.3800,,
2021,PARKS BOARD,41310018.3300,2176414.8800,5.26849168309241
2021,BOARD OF COSMETOLOGY,1743469.5700,,
2021,BOARD OF CHIROPRACTIC EXAMINERS,546023.2700,,
2021,BOARD OF PODIATRY EXAMINERS,181967.9200,,
2021,BOARD OF PHARMACY,6841834.8700,59341.4100,0.8673318068549059
2021,ARIZONA COMMERCE AUTHORITY,21358207.8100,,
2023,CRIMINAL JUSTICE COMMISSION,16867299.4400,6295434.2000,37.32330846674054
2023,COMMISSION FOR DEAF AND HARD OF HEARING,3005190.1900,,
2023,COMPANION ANIMAL SPAY/NEUTER COMMITTEE,464842.8400,,
2024,GAME AND FISH DEPARTMENT,154764287.3300,45021478.2100,29.09035345732044
2024,AHCCCS,19026516273.0600,15903581889.6700,83.58640994194076
2024,OFFICE OF ADMINISTRATIVE HEARINGS,1009659.3400,,
2024,LOTTERY COMMISSION,747453188.5500,,
2024,LEGISLATIVE COUNCIL,108256.0500,,
2024,NATUROPATHIC PHYSICIANS MEDICAL BOARD,381306.1800,,
2024,NORTHERN ARIZONA UNIVERSITY,4987863.4200,,
2025,DEPT OF HEALTH SERVICES,598341296.3600,412832339.1700,68.99613008185447
2025,BOARD OF ACCOUNTANCY,1999313.8200,,
2025,PIONEERS' HOME,14573785.2600,,
2025,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,19837242.6000,,
2025,RETIREE ACCUMULATED SICK LEAVE,21679532.6000,,
2025,BOARD OF HOMEOPATHIC EXAMINERS,64869.4200,,
2025,BOARD OF FINGERPRINTING,863160.0000,,
2025,COMMISSION ON THE ARTS,4645919.3300,1154296.0000,24.845373283741456
2016,BOARD OF HOMEOPATHIC EXAMINERS,85050.0000,,
2016,COMMISSION ON THE ARTS,2438496.1300,797900.0000,32.72098693058004
2016,BOARD OF FINGERPRINTING,878878.0000,,
2020,DEPT OF INSURANCE AND FINANCIAL INSTITUTIONS,73469296.0400,,
2023,AUDITOR GENERAL,1781410.0000,,
2025,PARENTS COMMISSION DRUG EDU,4629900.8100,,
