agency,fiscal_year,hv_txn,hv_exposure,n_tier1,usd_tier1,n_tier12,usd_tier12,tier12_pct_of_hv,avg_risk_score
RESIDENTIAL UTILITY CONSUMER OFFICE,2024,2,540000,0,,0,,,2.8
RESIDENTIAL UTILITY CONSUMER OFFICE,2025,1,116300,0,,0,,,5.6
RETIREE ACCUMULATED SICK LEAVE,2016,26,12352572,0,,0,,,0.0
RETIREE ACCUMULATED SICK LEAVE,2017,26,13195268,0,,0,,,0.0
RETIREE ACCUMULATED SICK LEAVE,2018,25,12773277,0,,0,,,0.0
RETIREE ACCUMULATED SICK LEAVE,2019,25,12640667,0,,0,,,0.0
RETIREE ACCUMULATED SICK LEAVE,2020,25,12384574,0,,0,,,0.0
RETIREE ACCUMULATED SICK LEAVE,2021,25,12960535,0,,0,,,0.0
RETIREE ACCUMULATED SICK LEAVE,2022,26,13324952,0,,0,,,0.0
RETIREE ACCUMULATED SICK LEAVE,2023,26,13228226,0,,0,,,0.0
RETIREE ACCUMULATED SICK LEAVE,2024,26,13897358,0,,0,,,0.0
RETIREE ACCUMULATED SICK LEAVE,2025,24,12558895,0,,0,,,0.0
SCHOOL FACILITIES BOARD,2016,92,511769231,0,,0,,,0.061
SCHOOL FACILITIES BOARD,2017,107,600283611,0,,0,,,0.052
SCHOOL FACILITIES BOARD,2018,123,642448009,0,,0,,,0.046
SCHOOL FACILITIES BOARD,2019,186,586388906,0,,0,,,0.03
SCHOOL FACILITIES BOARD,2020,319,695562090,0,,0,,,0.018
SCHOOL FACILITIES BOARD,2021,338,437293754,0,,0,,,0.017
SCHOOL FACILITIES BOARD,2022,298,622902266,0,,2,235201,0.04,0.059
SCHOOL FACILITIES BOARD,2023,11,10765608,0,,0,,,0.0
SCHOOLS FOR THE DEAF AND THE BLIND,2016,82,12145832,0,,1,100427,0.83,0.557
SCHOOLS FOR THE DEAF AND THE BLIND,2017,83,12294993,0,,1,100200,0.81,0.14
SCHOOLS FOR THE DEAF AND THE BLIND,2018,96,12788241,0,,0,,,0.108
SCHOOLS FOR THE DEAF AND THE BLIND,2019,85,14082045,0,,0,,,0.127
SCHOOLS FOR THE DEAF AND THE BLIND,2020,125,19502812,0,,9,1278420,6.56,0.788
SCHOOLS FOR THE DEAF AND THE BLIND,2021,104,16780074,0,,3,445518,2.66,0.419
SCHOOLS FOR THE DEAF AND THE BLIND,2022,114,15820244,0,,6,829529,5.24,0.772
SCHOOLS FOR THE DEAF AND THE BLIND,2023,96,16483207,0,,14,3214578,19.5,1.241
SCHOOLS FOR THE DEAF AND THE BLIND,2024,63,10536228,0,,27,5115944,48.56,2.813
SCHOOLS FOR THE DEAF AND THE BLIND,2025,32,4599096,0,,6,1352987,29.42,1.369
SECRETARY OF STATE (DEPT OF STATE),2016,14,4997661,0,,2,1721945,34.46,1.55
SECRETARY OF STATE (DEPT OF STATE),2017,40,16041361,0,,2,1479035,9.22,2.03
SECRETARY OF STATE (DEPT OF STATE),2018,17,4882835,0,,5,1888400,38.67,3.829
