appropriation,lead_agency,hv_txn,hv_exposure,n_tier1,tier12_exposure,max_risk_score,distinct_vendors
ADULT EDUCATION CONTINUING HIGH SCHOOL & WORKFORCE TRAINING,DEPT OF EDUCATION,1,2177175,1,2177175,6.0,0
COLLEGE PLACEMENT EXAM FEE WAIVER,DEPT OF EDUCATION,2,2034259,1,2034259,9.0,1
SPECIAL ED INSTITUTIONAL VOUCHER FD,DEPT OF EDUCATION,390,202941861,1,2000000,6.0,0
STATEWIDE ASSESSMENT SUPPLEMENTAL - SPECIAL FUND,DEPT OF EDUCATION,1,2000000,1,2000000,6.0,0
MILITARY INSTALLATION,DEPT OF EMERGENCY AND MILITARY AFFAIRS,7,3181587,1,1949095,7.8,3
ARPA-HCBS DES FED,AHCCCS,58,701616117,1,1870000,6.0,1
HPF PROGRAMS AND OPERATIONS,DEPT OF HOUSING,117,24389374,1,1860612,10.5,22
FAILING SCHOOL TUTORING-PROP 301,DEPT OF EDUCATION,17,3731635,1,1771971,10.5,7
DERS OPER GF,DEPT OF ECONOMIC SECURITY,189,50611711,1,1744083,7.0,1
CYBERSECURITY SOFTWARE,DEPT OF HOMELAND SECURITY,4,1661110,1,1661110,10.5,1
INJUNCTION RELATED IT UPGRADES,DEPT OF CORRECTIONS,5,2164905,1,1249290,14.0,2
OLS-OTHER,DEPT OF EDUCATION,12,5111426,1,1243539,6.0,1
AVIATION - FEDERAL REVENUE  EXPENDITURE,DEPT OF TRANSPORTATION,12,4382855,1,1228232,6.5,2
HELP LOAN - MAG RFS 50M,DEPT OF TRANSPORTATION,1,1157958,1,1157958,11.2,0
AZ VETERAN'S SUICIDE PREVENTION,DEPT OF VETERANS SERVICES,4,1803456,1,1149786,13.5,1
HEALTH CARE DIRECTIVES REGISTRY,DEPT OF HEALTH SERVICES,1,1000000,1,1000000,7.5,1
