entity_key,parent_key,parent_name,method,confidence,group_size
"ACQUISITION SCIENCES, LTD.","ACQUISITION SCIENCES, LTD.","ACQUISITION SCIENCES, LTD.",parent,singleton,1
ACRO SERVICE CORP,ACRO SERVICE CORP,ACRO SERVICE CORP,parent,singleton,1
ACTION FOR CHILD PROTECTION,ACTION FOR CHILD PROTECTION,ACTION FOR CHILD PROTECTION,parent,singleton,1
"ACTIVE RESOURCE MANAGEMENT, LLC","ACTIVE RESOURCE MANAGEMENT, LLC","ACTIVE RESOURCE MANAGEMENT, LLC",parent,singleton,1
ADAMAN IRRIGATION WATER DELIVERY DISTRIT,ADAMAN IRRIGATION WATER DELIVERY DISTRIT,ADAMAN IRRIGATION WATER DELIVERY DISTRIT,parent,singleton,1
ADAMS AND WENDT INC,ADAMS AND WENDT INC,ADAMS AND WENDT INC,parent,singleton,1
ADANI SYSTEMS INC,ADANI SYSTEMS INC,ADANI SYSTEMS INC,parent,singleton,1
ADAPT PHARMA INC.,ADAPT PHARMA INC.,ADAPT PHARMA INC.,parent,singleton,1
ADAPTIVE INTEGRATED SERVI,ADAPTIVE INTEGRATED SERVI,ADAPTIVE INTEGRATED SERVI,parent,singleton,1
ADELANTE HEALTH PEORIA,ADELANTE HEALTH PEORIA,ADELANTE HEALTH PEORIA,parent,singleton,1
ADELANTE HEALTHCARE,ADELANTE HEALTHCARE,ADELANTE HEALTHCARE,parent,singleton,1
ADELMAN GERMAN,ADELMAN GERMAN,ADELMAN GERMAN,parent,singleton,1
ADMINISTRATION OF RESOURCES AND CHOICES,ADMINISTRATION OF RESOURCES AND CHOICES,ADMINISTRATION OF RESOURCES AND CHOICES,parent,singleton,1
ADONAI OUTPATIENT TREATME,ADONAI OUTPATIENT TREATME,ADONAI OUTPATIENT TREATME,parent,singleton,1
ADVANCE WORLD TRADE INC,ADVANCE WORLD TRADE INC,ADVANCE WORLD TRADE INC,parent,singleton,1
ADVANCED DAIRY SYSTEMS LLC,ADVANCED DAIRY SYSTEMS LLC,ADVANCED DAIRY SYSTEMS LLC,parent,high,3
ADVANCED HEALTHSTYLES,ADVANCED HEALTHSTYLES,ADVANCED HEALTHSTYLES,parent,singleton,1
ADVANCED MINIMALLY INVASI,ADVANCED MINIMALLY INVASI,ADVANCED MINIMALLY INVASI,parent,singleton,1
ADVANCED NETWORK MANAGEMENT,ADVANCED NETWORK MANAGEMENT,ADVANCED NETWORK MANAGEMENT,parent,singleton,1
ADVANCED SYSTEMS GROUP LLC,ADVANCED DAIRY SYSTEMS LLC,ADVANCED DAIRY SYSTEMS LLC,token_subset,high,3
ADVANCED TELEMETRY SYSTEMS INC,ADVANCED DAIRY SYSTEMS LLC,ADVANCED DAIRY SYSTEMS LLC,token_subset,high,3
ADVANTAGE MAILING INC,ADVANTAGE MAILING INC,ADVANTAGE MAILING INC,parent,singleton,1
ADVENT SOFTWARE INC,ADVENT SOFTWARE INC,ADVENT SOFTWARE INC,parent,singleton,1
ADW COMMUNICATIONS SERVICES INC,ADW COMMUNICATIONS SERVICES INC,ADW COMMUNICATIONS SERVICES INC,parent,singleton,1
AE INSURANCE LLC,AE INSURANCE LLC,AE INSURANCE LLC,parent,singleton,1
AECOM TECHNICAL SERVICES INC,AECOM TECHNICAL SERVICES INC,AECOM TECHNICAL SERVICES INC,parent,singleton,1
AEG MANAGEMENT GLENDALE LLC,AEG MANAGEMENT GLENDALE LLC,AEG MANAGEMENT GLENDALE LLC,parent,singleton,1
AERO PRODUCTS COMPONENT SVC,AERO PRODUCTS COMPONENT SVC,AERO PRODUCTS COMPONENT SVC,parent,singleton,1
AEROMARITIME AMERICA INC,AEROMARITIME AMERICA INC,AEROMARITIME AMERICA INC,parent,singleton,1
AETNA LIFE INSURANCE CO,AETNA LIFE INSURANCE COMPANY,AETNA LIFE INSURANCE COMPANY,norm_exact,high,2
AETNA LIFE INSURANCE COMPANY,AETNA LIFE INSURANCE COMPANY,AETNA LIFE INSURANCE COMPANY,parent,high,2
AFFIRMED WELLNESS OUTPATI,AFFIRMED WELLNESS OUTPATI,AFFIRMED WELLNESS OUTPATI,parent,singleton,1
AG PROPERTY SOLUTIONS LLC,AG PROPERTY SOLUTIONS LLC,AG PROPERTY SOLUTIONS LLC,parent,singleton,1
AG-POP CS 3838 OWNER LLC,AG-POP CS 3838 OWNER LLC,AG-POP CS 3838 OWNER LLC,parent,singleton,1
AGAPE HEALING HOUSE LLC,AGAPE HEALING HOUSE LLC,AGAPE HEALING HOUSE LLC,parent,singleton,1
AGAPE LOVE COMMUNITY CENT,AGAPE LOVE COMMUNITY CENT,AGAPE LOVE COMMUNITY CENT,parent,singleton,1
AGENA BIOSCIENCE INC,AGENA BIOSCIENCE INC,AGENA BIOSCIENCE INC,parent,singleton,1
AGILENT TECHNOLOGIES INC,AGILENT TECHNOLOGIES INC,AGILENT TECHNOLOGIES INC,parent,singleton,1
